date,wday,month,year,CASHBACK_STORE_1,type_Cultural,type_National,type_Religious,type_Sporting,is_weekend,item_id,cnt,sell_price
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_064,0,2.54
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_727,6,3.98
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_714,47,1.48
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_587,57,2.28
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_586,61,1.48
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_555,51,1.48
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_547,12,0.2
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_584,10,1.0
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_339,1,0.88
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_252,22,1.48
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_090,130,1.25
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_376,4,1.98
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_325,0,
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_065,0,2.94
2011-01-29,1,1,2011,0,0,0,0,0,1,STORE_1_546,3,5.48
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_547,15,0.2
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_727,8,3.98
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_714,38,1.48
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_587,62,2.28
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_586,67,1.48
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_555,45,1.48
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_546,6,5.48
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_584,11,1.0
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_252,23,1.48
